Person: 0, Birth Year: 1927, Death Year: 1969
Person: 1, Birth Year: 1918, Death Year: 1959
Person: 2, Birth Year: 1939, Death Year: 1987
Person: 3, Birth Year: 1922, Death Year: 1966
Person: 4, Birth Year: 1901, Death Year: 1985
Person: 5, Birth Year: 1925, Death Year: 1939
Person: 6, Birth Year: 1924, Death Year: 1997
Person: 7, Birth Year: 1935, Death Year: 1954
Person: 8, Birth Year: 1930, Death Year: 1966
Person: 9, Birth Year: 1913, Death Year: 1942
Person: 10, Birth Year: 1904, Death Year: 1913
Person: 11, Birth Year: 1920, Death Year: 1975
Person: 12, Birth Year: 1910, Death Year: 1948
Person: 13, Birth Year: 1909, Death Year: 1938
Person: 14, Birth Year: 1965, Death Year: 1979
Person: 15, Birth Year: 1924, Death Year: 1944
Person: 16, Birth Year: 1917, Death Year: 1933
Person: 17, Birth Year: 1900, Death Year: 1917
Person: 18, Birth Year: 1989, Death Year: 1997
Person: 19, Birth Year: 1910, Death Year: 1921
Person: 20, Birth Year: 1968, Death Year: 1981
Person: 21, Birth Year: 1990, Death Year: 1991
Person: 22, Birth Year: 1931, Death Year: 1972
Person: 23, Birth Year: 1987, Death Year: 1993
Person: 24, Birth Year: 1953, Death Year: 1999
Person: 25, Birth Year: 1923, Death Year: 1936
Person: 26, Birth Year: 1926, Death Year: 1935
Person: 27, Birth Year: 1918, Death Year: 1933
Person: 28, Birth Year: 1978, Death Year: 1988
Person: 29, Birth Year: 1961, Death Year: 1983
Person: 30, Birth Year: 1960, Death Year: 1989
Person: 31, Birth Year: 1978, Death Year: 1990
Person: 32, Birth Year: 1902, Death Year: 1988
Person: 33, Birth Year: 1942, Death Year: 1964
Person: 34, Birth Year: 1904, Death Year: 1969
Person: 35, Birth Year: 1992, Death Year: 1994
Person: 36, Birth Year: 1969, Death Year: 1973
Person: 37, Birth Year: 1940, Death Year: 1973
Person: 38, Birth Year: 1904, Death Year: 1955
Person: 39, Birth Year: 1950, Death Year: 1979
Person: 40, Birth Year: 1923, Death Year: 1964
Person: 41, Birth Year: 1952, Death Year: 1964
Person: 42, Birth Year: 1948, Death Year: 1988
Person: 43, Birth Year: 1961, Death Year: 1976
Person: 44, Birth Year: 1913, Death Year: 1927
Person: 45, Birth Year: 1916, Death Year: 1995
Person: 46, Birth Year: 1977, Death Year: 1996
Person: 47, Birth Year: 1972, Death Year: 1995
Person: 48, Birth Year: 1995, Death Year: 1996
Person: 49, Birth Year: 1921, Death Year: 1959
